Sentence #	Word	POS	Tag
Sentence 1	eu	PRON	O
Sentence 1	sei	VERB	O
Sentence 1	que	SCONJ	O
Sentence 1	não	ADV	O
Sentence 1	sou	VERB	O
Sentence 1	escritor	ADJ	O
Sentence 1	e	CCONJ	O
Sentence 1	so	VERB	O
Sentence 1	uma	DET	O
Sentence 1	carta	NOUN	O
Sentence 1	de	ADP	O
Sentence 1	amor	NOUN	O
Sentence 1	de	ADP	O
Sentence 1	alguém	PRON	O
Sentence 1	que	PRON	O
Sentence 1	te	VERB	O
Sentence 1	quer	VERB	O
Sentence 1	de	ADP	O
Sentence 1	verdade	NOUN	O
Sentence 1	🎵	PROPN	O
Sentence 1	❤	PROPN	O
Sentence 2	#	PROPN	O
Sentence 2	OkOk	PROPN	O
Sentence 2	Dizem	VERB	O
Sentence 2	q	ADP	O
Sentence 2	esse	DET	O
Sentence 2	palhaço	NOUN	O
Sentence 2	do	PROPN	O
Sentence 2	filme	NOUN	O
Sentence 2	é	VERB	O
Sentence 2	o	DET	O
Sentence 2	BOZO	PROPN	B-person
Sentence 2	,	PUNCT	O
Sentence 2	mas	CCONJ	O
Sentence 2	para	ADP	O
Sentence 2	evitar	VERB	O
Sentence 2	problema	NOUN	O
Sentence 2	judicial	ADJ	O
Sentence 2	virou	VERB	O
Sentence 2	...	PUNCT	O
Sentence 2	BINGO	PROPN	O
Sentence 2	!	PUNCT	O
Sentence 2	https://t.co/UwpoRloc5t	NOUN	O
Sentence 3	A	DET	O
Sentence 3	vida	NOUN	O
Sentence 3	é	VERB	O
Sentence 3	sua	DET	O
Sentence 3	,	PUNCT	O
Sentence 3	tome	NOUN	O
Sentence 3	,	PUNCT	O
Sentence 3	faça	VERB	O
Sentence 3	algo	ADV	O
Sentence 3	acontecer	VERB	O
Sentence 3	.	PUNCT	O
Sentence 3	@	PROPN	O
Sentence 3	São	PROPN	B-location
Sentence 3	Paulo	PROPN	I-location
Sentence 3	,	PUNCT	O
Sentence 3	Brazil	PROPN	B-location
Sentence 3	https://t.co/AQbPPCMp2L	PROPN	O
Sentence 4	Esse	DET	O
Sentence 4	dia	NOUN	O
