tweet_id	mensagem
|TWEET_ID|: 853794758799618048	|MENSAGEM|: eu sei que não sou escritor e so uma carta de amor de alguém que te quer de verdade 🎵❤
|TWEET_ID|: 853794763782443008	|MENSAGEM|: #OkOk  Dizem q esse palhaço do filme é o BOZO, mas para evitar problema judicial virou... BINGO! https://t.co/UwpoRloc5t
|TWEET_ID|: 853794767104335872	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853794768572170240	|MENSAGEM|: A vida é sua, tome, faça algo acontecer. @ São Paulo, Brazil https://t.co/AQbPPCMp2L
|TWEET_ID|: 853794771701248000	|MENSAGEM|: Esse dia foi a maior prova de que eu sou muito tonta
|TWEET_ID|: 853794772842156032	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853794773773275136	|MENSAGEM|: @jucavencio Essa foto tá parecendo que eu tenho
|TWEET_ID|: 853794773907513344	|MENSAGEM|: @gabpradoamorim ps: dois cursos nada a ver um com o outro
|TWEET_ID|: 853794785315913728	|MENSAGEM|: Alguém me apresenta umas musicas ai
|TWEET_ID|: 853794789602578432	|MENSAGEM|: que tipo de foto é que tu tá com vergonha? — Olha minha capa sndmdkdmdm https://t.co/K8p9kWkSLi
|TWEET_ID|: 853794805704470529	|MENSAGEM|: @ForeverPlayerG Mais planejamento e conhecimento de configuração
|TWEET_ID|: 853794807780605952	|MENSAGEM|: @_ddaninunes Tem seus lados positivos e são bons demais ajejuaheuahe mas poucos
|TWEET_ID|: 853794812390244353	|MENSAGEM|: @VictroVonDoom POR FAVOR NAO
|TWEET_ID|: 853794817201111042	|MENSAGEM|: @Fariaagabyy Kkkkkkkkkkk, não fala assim kkk
|TWEET_ID|: 853794817360396288	|MENSAGEM|: Mais desgraçadas da cabeça pelo justin do q eu e mayli ta pra nascer
|TWEET_ID|: 853794818601910272	|MENSAGEM|: @gustaaps Aah sim uahauahua aha
|TWEET_ID|: 853794822116847616	|MENSAGEM|: Tendeu sim, não te faz kkkk
|TWEET_ID|: 853794822402039808	|MENSAGEM|: Eu me atrapalhei toda hj
|TWEET_ID|: 853794823500963840	|MENSAGEM|: quando se fala mercado sempre tem aquele amigo p te lembrar né incrivel
